what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1739790719719
java.specification.name,sysinfo,,,"Java Platform API Specification",1739790719719
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1739790719719
java.specification.version,sysinfo,,,"1.6",1739790719719
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1739790719719
java.version,sysinfo,,,"1.6.0_23",1739790719719
java.vm.info,sysinfo,,,"mixed mode",1739790719719
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1739790719719
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1739790719719
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1739790719719
java.vm.specification.version,sysinfo,,,"1.0",1739790719719
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1739790719719
java.vm.version,sysinfo,,,"19.0-b09",1739790719719
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1739790719898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790722089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790724650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1739790728557
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1739790728726
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1739790728743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790732998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790733334
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1739790735659
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1739790735702
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1739790735702
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1739790735703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790735716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790738216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1739790740569
